from;to;cost;profit;category
27;1;537.118.471.931.037;1399;Palace
27;2;610.434.445.848.504;1478;Zoo
27;3;182.372.515.733.811;1243;Entertainment
27;4;669.210.478.906.551;1042;Museum
27;5;756.601.878.158.248;1750;Palace
27;6;112.546.663.991.516;1581;Museum
27;7;186.439.958.472.584;539;Palace
27;8;445.148.335.938.911;571;Structure
27;9;117.661.224.807.588;1113;Museum
27;10;200.684.775.940.239;352;Zoo
27;11;135.058.774.857.105;2802;Museum
27;13;468.407.195.749.796;131;Museum
27;14;731.613.488.215.355;164;Museum
27;15;681.008.368.122.087;2030;Entertainment
27;16;139.823.072.052.164;4539;Museum
27;17;187.173.587.222.966;5533;Historical
27;18;480.852.148.904.555;963;Historical
27;19;427.110.497.343.601;268;Museum
27;20;109.053.980.853.771;1761;Historical
27;21;475.078.461.320.825;932;Museum
27;22;138.805.274.813.827;155;Museum
27;23;751.608.215.318.053;1056;Historical
27;24;596.081.922.268.753;572;Park
27;25;685.231.085.221.194;1042;Historical
27;26;127.787.315.607.362;860;Historical
27;28;26.637.720.121.382;79;Museum
27;29;603.526.020.847.893;122;Park
28;1;561.426.809.368.659;1399;Palace
28;2;631.802.414.489.365;1478;Zoo
28;3;354.797.455.264.371;1243;Entertainment
28;4;258.660.491.933.189;1042;Museum
28;5;288.212.755.366.216;1750;Palace
28;6;282.058.111.522.037;1581;Museum
28;7;847.512.982.512.779;539;Palace
28;8;633.247.240.331.824;571;Structure
28;9;301.857.118.721.611;1113;Museum
28;10;289.528.044.179.765;352;Zoo
28;11;286.041.432.517.848;2802;Museum
28;13;523.168.288.546.796;131;Museum
28;14;2.884.483.160.348;164;Museum
28;15;293.896.690.873.387;2030;Entertainment
28;16;303.133.951.836.231;4539;Museum
28;17;279.982.696.931.008;5533;Historical
28;18;261.481.986.077.413;963;Historical
28;19;235.106.673.529.879;268;Museum
28;20;188.170.502.703.393;1761;Historical
28;21;251.106.428.935.203;932;Museum
28;22;288.715.674.704.125;155;Museum
28;23;240.599.610.565.966;1056;Historical
28;24;628.820.831.147.973;572;Park
28;25;279.830.973.018.293;1042;Historical
28;26;334.705.224.077.375;860;Historical
28;27;26.637.720.121.382;453;Cultural
28;29;637.058.825.666.269;122;Park
29;1;757.016.973.176.084;1399;Palace
29;2;285.035.551.561.528;1478;Zoo
29;3;784.652.483.061.815;1243;Entertainment
29;4;537.451.358.388.079;1042;Museum
29;5;530.559.144.610.996;1750;Palace
29;6;491.017.723.960.105;1581;Museum
29;7;591.913.994.808.651;539;Palace
29;8;101.704.518.735.567;571;Structure
29;9;488.553.385.561.103;1113;Museum
29;10;407.041.459.092.917;352;Zoo
29;11;468.478.334.310.843;2802;Museum
29;13;135.751.937.748.344;131;Museum
29;14;533.354.999.450.709;164;Museum
29;15;541.249.401.595.279;2030;Entertainment
29;16;464.801.446.136.982;4539;Museum
29;17;591.796.490.945.775;5533;Historical
29;18;555.706.369.224.004;963;Historical
29;19;574.150.672.600.865;268;Museum
29;20;539.122.805.218.572;1761;Historical
29;21;645.524.363.294.946;932;Museum
29;22;740.415.098.234.635;155;Museum
29;23;534.934.493.758.418;1056;Historical
29;24;823.844.039.936.781;572;Park
29;25;536.041.255.465.363;1042;Historical
29;26;492.536.147.308.187;860;Historical
29;27;603.526.020.847.893;453;Cultural
29;28;637.058.825.666.269;79;Museum
